time,open,high,low,close,Volume,Volume MA
1644192000,3055,3063.94,3054.35,3061.22,1268.8094,NaN
1644192060,3061.22,3062.38,3055,3055.07,642.7991,NaN
1644192120,3055.51,3055.59,3045.8,3050.56,644.5226,NaN
1644192180,3050.56,3051.66,3044.27,3045.92,553.9341,NaN
1644192240,3045.63,3053.67,3045.63,3050.93,226.6196,NaN
1644192300,3050.94,3053.75,3047.17,3048.03,593.4889,NaN
1644192360,3048.03,3048.9,3045.4,3047.94,366.7413,NaN
1644192420,3047.94,3050.41,3047.29,3049.22,218.2845,NaN
1644192480,3049.21,3050.01,3046.19,3047.11,344.6018,NaN
1644192540,3047.11,3047.96,3041.62,3041.84,305.5223,NaN
1644192600,3041.83,3042.17,3035.34,3038.03,344.8382,NaN
1644192660,3038.03,3038.41,3029,3036.19,615.1915,NaN
1644192720,3036.19,3039.95,3034.78,3038.53,313.9928,NaN
1644192780,3038.53,3039.97,3035.35,3036.18,243.2601,NaN
1644192840,3036.19,3036.39,3027.4,3030.39,581.2063,NaN
1644192900,3030.7,3036.39,3030.49,3033.78,286.0637,NaN
1644192960,3033.78,3034.09,3028.29,3029.09,193.8867,NaN
1644193020,3029.1,3033.44,3028.49,3029.31,158.2463,NaN
1644193080,3029.31,3029.58,3021.87,3021.99,404.3759,NaN
1644193140,3021.99,3025.04,3018.35,3018.36,315.2404,431.081275
1644193200,3018.35,3023.32,3015.31,3021,338.7222,384.576915
1644193260,3020.94,3024.33,3019.96,3022.65,208.3118,362.85255
1644193320,3022.65,3027.38,3021.92,3025.05,376.5045,349.451645
1644193380,3025.05,3029.13,3024.16,3029.12,247.8279,334.146335
1644193440,3029.12,3031.99,3016.1,3019.28,882.2298,366.926845
1644193500,3019.59,3019.6,3003.15,3008.98,1215.9212,398.04846
1644193560,3008.98,3012.14,3003.22,3003.95,1434.2424,451.42351500000007
1644193620,3003.94,3011.39,3003.42,3010.66,534.8338,467.2509800000001
1644193680,3010.54,3014.31,3009.27,3010.16,317.5216,465.89697000000007
1644193740,3010.15,3014.72,3008.42,3013.18,233.9886,462.32028500000007
1644193800,3013.17,3016.61,3009.58,3016.08,258.079,457.98232500000006
1644193860,3016.08,3017.5,3013.92,3016.47,124.6039,433.452945
1644193920,3016.46,3016.57,3012.26,3013.26,112.7492,423.390765
1644193980,3013.26,3015.69,3013.06,3013.65,89.7838,415.71695
1644194040,3013.98,3013.98,3008.49,3008.91,199.8418,396.648725
1644194100,3008.91,3010.24,3007.12,3010.05,111.7342,387.93225
1644194160,3010.24,3012.06,3007.77,3009.64,173.7405,386.92494
1644194220,3009.63,3012.29,3008.52,3011.23,136.744,385.849825
1644194280,3011.24,3011.76,3007,3007.76,201.2937,375.695715
1644194340,3007.77,3009.18,3000,3003.33,2883.5776,504.112575
1644194400,3003.32,3006.42,3001.64,3005.86,206.0616,497.479545
1644194460,3005.85,3007.9,3003.7,3005.75,408.2088,507.474395
1644194520,3005.75,3006.97,3004,3004.91,198.3551,498.5669250000001
1644194580,3004.9,3005.89,3001.3,3001.85,380.0372,505.1773900000001
1644194640,3001.86,3005,3001.85,3004.21,261.687,474.15025000000014
1644194700,3004.22,3006.49,3003.01,3003.01,212.5446,423.98142000000007
1644194760,3003.02,3003.02,2996.7,3002.39,683.1009,386.4243450000001
1644194820,3002.39,3002.94,2997.41,2997.68,121.8561,365.77546000000007
1644194880,2997.67,2999.99,2995.22,2995.8,562.6183,378.0302950000001
1644194940,2995.81,3000.2,2991.8,3000.13,325.0525,382.5834900000001
1644195000,3000.13,3000.24,2998.39,3000.19,102.7715,374.8181150000001
1644195060,3000.18,3006.79,2999.92,3004.82,265.4229,381.8590650000001
1644195120,3004.49,3005.36,3002.77,3004.89,130.8039,382.7618000000001
1644195180,3004.89,3008.23,3004.19,3007.84,203.722,388.45871000000005
1644195240,3007.84,3010.35,3006.32,3009.56,130.7034,385.0017900000001
1644195300,3009.55,3011.49,3007.4,3010.39,168.2704,387.8286000000001
1644195360,3010.39,3011.67,3009.71,3010.32,109.2196,384.6025550000001
1644195420,3010.32,3011.19,3008.5,3008.5,88.2264,382.1766750000001
1644195480,3008.5,3010.71,3008.5,3009.08,87.8572,376.50485000000015
1644195540,3009.07,3010.53,3009.07,3010.02,44.7417,234.56305500000013
1644195600,3010.03,3012.57,3002.27,3003.25,322.5662,240.38828500000014
1644195660,3003.26,3006.87,3002.21,3002.67,271.5748,233.55658500000013
1644195720,3002.58,3004.14,3001.31,3003.1,134.1588,230.34677000000016
1644195780,3003.1,3006.03,3002.84,3004.01,133.2053,218.00517500000015
1644195840,3004,3004.3,3000.31,3003.18,156.0663,212.72414000000018
1644195900,3003.39,3004.67,3002.01,3003.74,104.8843,207.34112500000015
1644195960,3003.75,3005,3001,3001.26,101.1565,178.24390500000015
1644196020,3001.26,3003,3001.05,3002.26,121.0303,178.20261500000015
