RSI,SLOWK,MACDHIST,MACD,OBV,SLOWD,MACDSIGNAL,Volume
26.525643313798657,15.35058430717856,-5.544657708284781,-26.272474045673334,-117675.93899000001,8.665229272205574,-20.727816337388553,7820.60085
25.78914665044515,12.50417362270417,-4.852753139580052,-26.793757761863617,-125852.89821000001,12.518085698386052,-21.941004622283565,8176.95922
24.337944315750747,12.130992678894659,-4.39861958495149,-27.439279103472927,-140230.10861000002,13.32858353625914,-23.040659518521437,14377.2104
27.48513301522742,15.964732740297398,-3.36254524637436,-27.24384107648939,-132714.90209000002,13.533299680632089,-23.88129583011503,7515.20652
24.610250367063497,5.967094387152596,-3.1296468598309914,-27.793354404903766,-141809.39417,11.354273268781563,-24.663707545072775,9094.49208
22.46797345501562,2.4333252759648616,-3.2807949754873853,-28.764701264432006,-150555.28272000002,8.121717467804965,-25.48390628894462,8745.88855
25.948603102312063,16.270745200130158,-2.6272378751192846,-28.767953632843728,-132768.25002,8.223721621082552,-26.140715757724443,17787.0327
25.902136792281773,18.153479416888377,-1.8543204124188648,-28.458616273248026,-142020.13057,12.285849964327811,-26.60429586082916,9251.88055
25.349727936818617,21.900362092645686,-1.174345813737041,-28.07222812800046,-149768.99215,18.774862236554753,-26.89788231426342,7748.86158
34.28525589676579,40.81309398099259,0.41251344007618584,-26.38224051416819,-143347.97379000002,26.955645163508894,-26.794753954244374,6421.01836
31.583244930622133,29.091869060189943,1.063083244050464,-25.465899899181295,-147791.54656000002,30.601775044609422,-26.52898314323176,4443.57277
46.217745349704174,70.92108958157871,3.473867777504214,-22.186648421351492,-136228.19553000003,46.94201754092043,-25.660516198855706,11563.35103
44.874323871045235,82.10840203473035,4.800611601122547,-19.65975169745252,-147917.42317000002,60.707120225499686,-24.460363298575068,11689.22764
42.429745152695496,70.16312927556542,5.168935106224744,-17.999194415794136,-153695.13502000002,74.39754029729151,-23.16812952201888,5777.71185
46.63189610081921,86.1954043150319,5.923341885821486,-15.763952164742022,-144024.21227000002,79.48897854177591,-21.68729405056351,9670.92275
37.72571017279817,38.04595684967545,4.5316021187953766,-16.022791402069288,-159289.84235000002,64.80149681342427,-20.554393520864664,15265.63008
42.30389647525958,56.62164532538165,4.28495206618927,-15.198203438128076,-153561.84213000003,60.28766883002968,-19.483155504317345,5728.00022
47.819936561052614,81.4243115242938,4.9857382998721,-13.250982629477221,-142181.49104000002,58.69730456645032,-18.23672092934932,11380.35109
45.110095034398896,66.95316611120843,4.803381871571052,-12.232493589885507,-151563.03249,68.33304098696131,-17.03587546145656,9381.54145
47.28218702019839,76.72338186283041,4.948060392407436,-10.850799970947264,-146139.60094,75.03361983277756,-15.7988603633547,5423.43155
46.37736845025097,68.87664764902607,4.7606567357876735,-9.84803944362011,-153859.00846,70.85106520768832,-14.608696179407783,7719.40752
44.427694203138905,58.193979933110676,4.180289041711646,-9.383334877268226,-159423.85996,67.93133648165573,-13.563623918979872,5564.8515
39.630010522719985,20.334075723829926,2.794412647057868,-10.070608110157536,-166759.7474,49.13490110198891,-12.865020757215405,7335.88744
43.55840387179845,29.49752668575849,2.4511478803723996,-9.801085906749904,-160916.25638,36.00852744756639,-12.252233787122304,5843.49102
37.29391032722459,10.0957027584914,0.8898822919083251,-11.139880922236898,-175767.76862000002,19.97576838935996,-12.029763214145223,14851.51224
33.990638368174814,17.471917715523418,-0.8597616435558599,-13.104465268590047,-198743.88092000003,19.021715719924455,-12.244703625034187,22976.1123
37.47681932440777,28.050778050778217,-1.3121348628170182,-13.88487220355546,-190410.36374000003,18.539466174931032,-12.572737340738442,8333.51718
47.41273544560495,62.69451269451291,0.20742619908845583,-12.313454591877871,-168861.35257000002,36.072402820271535,-12.520880790966327,21549.01117
50.171296877989924,73.90117390117413,1.7870775098778804,-10.287033903618976,-156834.88707000003,54.882154882155106,-12.074111413496857,12026.4655
48.51550466618622,67.13076713076734,2.4770325489521987,-8.977820727306607,-161043.60315000004,67.90881790881815,-11.454853276258806,4208.71608
47.14069091371053,61.57521157521157,2.6243266805181094,-8.17444492561117,-165249.19497000004,67.5357175357177,-10.798771606129279,4205.59182
40.522913882270984,33.7138728323697,1.2875778690154789,-9.18929926985993,-181220.34590000004,54.13995051278289,-10.476877138875409,15971.15093
40.97360802899436,35.30346820809277,0.5479477707930069,-9.79194242538415,-172367.58977000005,43.53085087189137,-10.339890196177157,8852.75613
43.85191575044718,45.28901734104049,0.5908844888449316,-9.601284585120993,-167901.39311000006,38.10211946050101,-10.192169073965925,4466.19666
37.51419979498167,13.353855174435786,-0.7389253561312366,-11.11582576912997,-179078.64734000005,31.31544690785637,-10.376900412998733,11177.25423
39.37340243315723,20.170454545454866,-1.159563128268795,-11.826354323334726,-171601.78720000005,26.271109020310405,-10.666791195065931,7476.86014
39.107331705357716,18.779904306219983,-1.3245278476019688,-12.322451004568393,-182096.16195000004,17.43473800870357,-10.997923156966424,10494.37475
45.750918565455585,42.18002392344496,-0.2594781944826412,-11.322270900069725,-176396.27697000004,27.043460925039962,-11.062792705587084,5699.88498
47.10509780436928,47.27870813397105,0.7401521733878429,-10.13760248885228,-173989.12824000005,36.079545454545354,-10.877754662240124,2407.14873
50.24681759588635,57.26830798180961,1.9382510219930644,-8.454940884748794,-167545.46843000004,48.909013346408564,-10.393191906741858,6443.65981
53.610473666780344,71.50697820291661,3.2618069820786992,-6.315933179143485,-161821.14996000004,58.68466477289911,-9.577740161222184,5724.31847
54.31022215172485,88.50596125186271,4.129607071151238,-4.415731322283136,-156820.18095000004,72.427082478863,-8.545338393434374,5000.96901
