time,open,high,low,close,Volume,Volume MA,RSI
1625180400,2128.88,2135.07,2109.11,2110.35,8327.98506,5706.088692499996,55.0044286979628
1625181300,2110.28,2115.49,2104.88,2113.49,4888.89049,5664.317293499997,48.0040941658136
1625182200,2113.27,2119.99,2109.0,2111.41,3077.37415,5568.137550499997,50.92290988056445
1625183100,2111.41,2122.24,2106.0,2106.41,4488.21269,5399.837453999997,43.35317460317447
1625184000,2106.41,2134.89,2096.0,2129.29,13177.61474,5812.8515094999975,54.08122235625243
1625184900,2128.69,2133.19,2122.0,2122.15,4401.29059,5482.227208499998,54.83640811334228
1625185800,2122.37,2129.95,2122.08,2128.04,2241.96855,5080.446061499997,53.848557441933075
1625186700,2128.02,2136.0,2122.48,2135.18,3068.07645,4891.729153499997,49.68203497615266
1625187600,2135.5,2139.0,2118.05,2118.06,4487.36607,4686.616841999997,44.05397240962645
1625188500,2118.05,2121.45,2097.38,2103.48,8228.32813,4884.483238999996,37.358220952040725
1625189400,2103.47,2106.37,2090.0,2095.55,8179.94845,5091.011680999995,36.62551440329225
1625190300,2095.31,2095.59,2084.04,2087.34,7848.41421,5315.451951499996,34.03994107055156
1625191200,2087.45,2092.81,2082.0,2087.58,7064.35446,5322.720782499996,32.77444110777425
1625192100,2087.59,2100.0,2087.59,2096.79,4475.50937,5343.583533999996,43.867583212735134
1625193000,2096.78,2103.64,2089.48,2094.89,3548.05825,5289.715875999997,41.49286498353457
1625193900,2094.76,2095.01,2086.19,2094.46,3011.15711,5278.069961999996,42.12872666480917
1625194800,2094.45,2095.74,2077.0,2080.58,7432.54245,5380.755004499996,38.918918918918884
1625195700,2080.54,2087.32,2056.82,2064.73,15164.54473,5896.235903499995,20.52593133674192
1625196600,2064.72,2064.72,2044.34,2052.84,14660.24735,6487.606766999996,19.67270499693686
1625197500,2052.83,2054.54,2033.96,2041.2,9978.8287,6887.535599999996,13.82269621729694
1625198400,2041.19,2054.62,2035.61,2049.98,11493.30487,7045.801590499995,14.984382705901595
1625199300,2049.83,2058.85,2043.58,2043.58,6146.54483,7108.684307499995,16.43230575085619
1625200200,2043.55,2051.49,2036.5,2049.15,6990.36957,7304.334078499996,23.349357402138715
1625201100,2049.27,2055.0,2044.42,2054.86,3355.57761,7247.702324499997,29.595827900912624
1625202000,2054.86,2058.77,2048.16,2049.11,4531.33476,6815.388325499998,30.344473007712075
1625202900,2048.97,2058.0,2038.63,2051.27,7082.24417,6949.436004499998,31.693052334375356
1625203800,2051.23,2055.94,2039.5,2042.33,4609.5532,7067.815236999998,22.467138523761385
1625204700,2042.33,2043.34,2023.41,2032.84,10202.26633,7424.524730999999,20.865808996149898
1625205600,2032.92,2041.86,2023.59,2025.87,5886.98883,7494.505868999999,19.65849774396177
1625206500,2025.87,2030.0,2018.5,2028.17,8368.93663,7501.536293999999,24.16954164613124
1625207400,2027.92,2035.34,2021.0,2029.1,5072.64281,7346.171011999999,29.411764705882337
1625208300,2029.1,2036.66,2027.9,2034.03,3497.09133,7128.604867999999,38.180218675380125
1625209200,2034.35,2043.0,2028.98,2040.43,4754.53283,7013.1137865,49.48203955334321
1625210100,2040.43,2051.34,2040.42,2048.93,5944.74098,7086.575367,49.29101958136383
1625211000,2048.94,2051.84,2043.54,2051.04,6064.80104,7212.4125065,55.34690366972478
1625211900,2051.05,2070.0,2050.99,2061.49,14539.08898,7788.8091,58.26634512325811
1625212800,2061.49,2078.57,2053.74,2074.86,13616.43128,8098.003541499999,62.15066828675575
1625213700,2074.86,2080.46,2064.4,2066.16,10101.24954,7844.838781999999,59.99999999999979
1625214600,2066.24,2067.33,2051.48,2055.86,7768.11538,7500.232183499999,52.45743655637655
1625215500,2056.0,2065.78,2055.99,2060.5,3877.04349,7195.142922999999,60.19755303625549
