,close,RSI,MACD,MACDSIGNAL,MACDHIST,BBW,OBV,SLOWK,SLOWD,Label
10287,2857.69,32.01533421522912,-3.189987856146672,-3.2793119767303387,0.08932412058366657,0.0038027241416820788,-61512.646699999874,10.643274853799808,21.207235074292786,0
10288,2855.61,28.703949908572806,-3.3649750384547588,-3.2964445890752225,-0.06853044937953623,0.004111059548011094,-61817.94109999987,12.74685816876202,13.323834856037001,1
10289,2856.77,32.87382263995517,-3.371190351790574,-3.311393741618293,-0.059796610172281106,0.004167935442226928,-61684.01279999987,23.15978456014324,15.51663919423462,1
10290,2859.25,40.84022469452547,-3.139807017773819,-3.277076396849398,0.1372693790755788,0.003905849275468188,-61496.11539999987,45.421903052064664,27.109515260322905,0
10291,2856.56,35.86787931433404,-3.1373293969031693,-3.249126996860152,0.11179759995698291,0.0037108012468079713,-61920.67639999987,21.274685816875387,29.952124476360694,0
10292,2852.2,29.581360721122117,-3.4474414671958584,-3.2887898909272932,-0.1586515762685652,0.004103508611965814,-62090.37639999987,0.0827129859368355,22.25976728495856,1
10293,2856.15,39.86460115149601,-3.3360199670869406,-3.298235906159223,-0.0377840609277178,0.0042305853159523505,-61898.19749999987,37.97235023041406,19.776583011075026,1
10294,2857.99,43.96923413567186,-3.0639259716504057,-3.2513739192574596,0.18744794760705386,0.004106187043081999,-61685.951399999874,54.930875576033465,30.995312930794388,1
10295,2859.13,46.4098574679132,-2.724890209166915,-3.1460771772393508,0.4211869680724356,0.004051486956955301,-61600.658699999876,65.43778801843288,52.78033794162641,0
10296,2858.58,45.38276932577238,-2.4720856635271957,-3.0112788744969197,0.539193210969724,0.003923782987098854,-61779.14189999988,62.32159847763915,60.89675402403477,1
10297,2860.59,49.75875530801627,-2.085505627330349,-2.8261242250636056,0.7406185977332567,0.0036783557072736545,-61630.47829999988,81.44624167459693,69.7352093902226,0
10298,2856.9,42.95464463698366,-2.0532220590584984,-2.671543791862584,0.6183217328040858,0.0033026148501853975,-61833.05039999988,46.336822074215036,63.36822074214998,0
10299,2854.57,39.30028104709468,-2.190399068998886,-2.5753148472898446,0.3849157782909587,0.003293253036061508,-61940.364099999875,26.680672268907234,51.487912005906004,0
10300,2852.93,36.91944546604926,-2.4037383324107395,-2.5409995443140234,0.1372612119032839,0.003485947903312142,-62079.936699999875,9.453781512601239,27.490425285240775,1
10301,2855.94,43.66502386015812,-2.3033774894151975,-2.4934751333342584,0.19009764391906092,0.0033657610162437243,-61926.185299999874,41.07142857142713,25.73529411764481,1
10302,2857.5,46.83800677224695,-2.074053438755527,-2.409590794418512,0.3355373556629848,0.003226229515185762,-61843.60679999987,57.457983193275325,35.99439775910084,1
10303,2860.61,52.57303342623801,-1.6226564937801413,-2.2522039342908378,0.6295474405106964,0.0033556739850103294,-61767.41009999987,90.12605042016747,62.88515406162292,0
10304,2859.58,50.625154040085306,-1.3326713489277608,-2.0682974172182225,0.7356260682904616,0.0032963928844088014,-61829.90259999987,79.30672268907293,75.63025210083818,1
10305,2860.69,52.660746655046,-1.0017408639414498,-1.8549861065628679,0.8532452426214181,0.0032687994298381813,-61779.74029999987,90.9663865546205,86.79971988795324,0
10306,2860.0,51.24638921635325,-0.7860917276821056,-1.6412072307867154,0.8551155031046098,0.0033460409276637884,-61910.26469999987,80.02008032128649,83.43106318832625,1
10307,2862.37,55.652221628487496,-0.41911771234890693,-1.3967893270991536,0.9776716147502467,0.003666270506434006,-61815.56979999987,93.60730593607072,88.19792427065885,0
10308,2858.51,48.037935927423156,-0.43474641586408325,-1.2043807448521395,0.7696343289880563,0.003610770113496829,-61916.323599999865,58.356164383563176,77.32785021363973,1
10309,2863.49,56.337928764755105,-0.044771794221105665,-0.9724589547259328,0.9276871605048271,0.003978213916475689,-61544.11259999986,82.69090909090829,78.21812647018034,0
10310,2861.84,53.30013082431398,0.12965016625958015,-0.7520371305288303,0.8816872967884104,0.004122259327383345,-61655.064399999865,70.69090909091094,70.57932752179373,1
10311,2862.43,54.250081556893505,0.3118935806960508,-0.5392509882838541,0.8511445689799049,0.00426460611569875,-61562.454699999864,74.98181818181777,76.12121212121194,1
10312,2862.71,54.720814644500024,0.4734587221410038,-0.33670904619888253,0.8101677683398864,0.00390951305117062,-61475.69249999987,77.01818181818287,74.23030303030346,0
10313,2859.76,49.000338843396484,0.35931792159635734,-0.19750365263983455,0.5568215742361919,0.0037936335615360857,-61631.184799999864,55.56363636363874,69.1878787878794,1
10314,2860.57,50.52956942738185,0.33041196194881195,-0.09192052972210524,0.4223324916709172,0.0037874353330163394,-61447.748999999865,61.454545454547436,64.6787878787893,0
10315,2859.81,49.043628531064456,0.24337268345652774,-0.02486188708637864,0.2682345705429064,0.0037877064852915457,-61636.67159999986,46.9352014010516,54.65112773974553,1
10316,2860.63,50.72726210105184,0.23781914408573357,0.02767431914804381,0.21014482493768977,0.003792055730742591,-61448.74969999986,41.51785714285982,49.96920133281922,1
10317,2862.03,53.54916137290843,0.34243880248095593,0.09062721581462624,0.2518115866663297,0.0038546901510274705,-61331.26039999986,51.14503816794083,46.532698903950354,0
10318,2861.93,53.31428730579111,0.4125261268363829,0.15500699801897758,0.25751912881740535,0.003808864239448575,-61397.01669999986,49.87277353689289,47.51188961589745,0
10319,2861.69,52.71666575047625,0.4435913966094631,0.21272387773707468,0.23086751887238843,0.0034348551815995753,-61810.80339999986,46.81933842239172,49.279050042408095,0
10320,2861.11,51.22234596830422,0.41660730430521653,0.25350056305070306,0.16310674125451347,0.002510044641908237,-61892.58239999986,39.44020356234145,45.377438507208296,0
10321,2860.73,50.21797286059302,0.36040486954470907,0.27488142434950424,0.08552344519520483,0.0020025144097253183,-61936.31019999986,34.605597964375484,40.28837998303583,1
10322,2864.2,58.26548348839573,0.5890735617458631,0.337719851828776,0.2513537099170871,0.0019300194390239032,-61598.860199999865,78.64450127877065,50.8967676018288,0
10323,2863.53,56.3706458467137,0.7080695620547885,0.4117897938739785,0.29627976818081003,0.0020395335959804218,-61832.768299999865,66.16022099447875,59.803440079207896,1
10324,2865.23,59.931261679521256,0.9288434134414274,0.5152005177874683,0.41364289565395906,0.002265811022070793,-61665.324799999864,89.64088397790088,78.1485354170497,0
10325,2863.01,53.76101495537146,0.9141352524088688,0.5949874647117485,0.3191477876971204,0.0022785856084395627,-62145.53829999986,48.093480934812504,67.96486196906366,0
